event_id,timestamp_local,repository_or_worktree,workflow,provider,account_tier,model,provider_attribution,outcome,failure_class,files_reviewed,comments,subtask_errors,retry_or_transition,source_path,source_sha256,corroborating_session_path,notes
R020,2026-07-10T13:46:53-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,,,0,no/unknown,$TMPDIR/ocr_review_test.log,e2232dee283d43f8f6e0b175e35a6fb7b721d2d6e97a372005bb3b61bab169f8,,Canonicalized by execution-output signature; companion JSON folded into this event.
R021,2026-07-10T13:49:17-0300,vybestack/llxprt-jefe,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,0,0,0,no/unknown,$TMPDIR/ocr_review_178.log,62f8f6d58bafea67d1941548a0875553a0d65da6d2b248db39da3f80d23644a8,$HOME/.opencodereview/sessions/Users-acoliver-projects-jefe-base-branch-1/67ad8680-8494-42e5-b6c5-46b0189dc0ad.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R022,2026-07-10T13:53:02-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,,,0,no/unknown,$TMPDIR/ocr_review_complete2.log,f1953017579416b6ef109a9629a34a0ca7c05040ceb91bd252616cc5d38d5c08,,Canonicalized by execution-output signature; companion JSON folded into this event.
R023,2026-07-10T14:04:14-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,,,0,yes,$TMPDIR/ocr_review_issue1723_final3.log,dc08be442530ff52f9208af5786ae96a5d17d9a9465b2a326328d0b72719b357,,Canonicalized by execution-output signature; companion JSON folded into this event.
R024,2026-07-10T14:14:25-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,,,0,yes,$TMPDIR/ocr_review_issue1723_final4.log,b8077a311a9096fd7a57cca24ec6aa9d6baf3d584d40e465657d5642655da18e,,Canonicalized by execution-output signature; companion JSON folded into this event.
R025,2026-07-10T14:23:28-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,,,0,yes,$TMPDIR/ocr_review_issue1723_final5.log,f19ec57b4a6d172e6b696609bc6df55fae3d52a1784f9328f2ff10c8b3cdcff4,,Canonicalized by execution-output signature; companion JSON folded into this event.
R026,2026-07-10T14:30:25-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,,,0,yes,$TMPDIR/ocr_review_issue1723_final6.log,89969bd43a5530331481ac2a46b8015922d45dd50a860d927362548d7f8f1f9f,,Canonicalized by execution-output signature; companion JSON folded into this event.
R027,2026-07-10T14:39:50-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,,,0,yes,$TMPDIR/ocr_review_issue1723_final7.log,9055b79681a32280f72d71511aff08fa9b4805dac46b058261d0145e2f0f2c73,,Canonicalized by execution-output signature; companion JSON folded into this event.
R028,2026-07-10T15:39:15-0300,vybestack/llxprt-jefe,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,45,27,0,no/unknown,$TMPDIR/ocr_review_132.log,5e08674e9023a40fa00df69d35ac687a45d8642e37d490c355a50e20dfa0d707,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-jefe-branch-4/bb5e4567-48ac-4bb3-a615-91908dbee7da.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R029,2026-07-10T20:49:44-0300,vybestack/llxprt-jefe,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,48,27,0,no/unknown,$TMPDIR/ocr_issue184_review.log,1ad1566673da5974549108bc09ca3cd66e2277dce68eecf05c73da84d77d314d,$HOME/.opencodereview/sessions/Users-acoliver-projects-jefe-base-branch-1/13700a86-35d8-40a8-81eb-8da8a0a814ee.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R030,2026-07-10T22:18:44-0300,vybestack/llxprt-code,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,,,0,no/unknown,$TMPDIR/ocr_review_2492_concurrency.log,27d9b5dd57653f809bf66986dd96153f17fce0a755d0bded0b62c22a613dd388,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-9-llxprt-code/861ecc83-676a-4407-8e63-1b601b7c0b04.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R031,2026-07-10T22:23:51-0300,vybestack/llxprt-code,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,,,0,no/unknown,$TMPDIR/ocr_review_2492_symbol.log,f6034f7040f9020f980d643c63bc143b063756d02011e7434a9d0a844958d6d9,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-9-llxprt-code/4c490be6-c17a-4ffe-8d2c-6a1961906f87.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R032,2026-07-11T03:00:47-0300,vybestack/llxprt-code,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,14,14,0,no/unknown,$TMPDIR/ocr_review_1604.log,9d6244d95e1c2443f6bb3bc01f8900f3f2ac69953cd90ddf2a8edbe9a80870b1,$HOME/.opencodereview/sessions/Users-acoliver-projects-llxprt-branch-8-llxprt-code/96198226-2b9d-4cdd-8448-b7f659e3ca55.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R033,2026-07-11T04:54:38-0300,vybestack/llxprt-code,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,0,0,0,no/unknown,$TMPDIR/ocr_1604.log,62f8f6d58bafea67d1941548a0875553a0d65da6d2b248db39da3f80d23644a8,$HOME/.opencodereview/sessions/Users-acoliver-projects-llxprt-branch-8-llxprt-code/188c892c-1d51-4b33-b8f1-435f3ea7f638.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R034,2026-07-11T05:03:44-0300,vybestack/llxprt-code,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,14,17,0,no/unknown,$TMPDIR/ocr_1604b.log,16c97edf3ee16dceac068716ead8064b0dd037ef3bf3fabc8d51eb12688b93e3,$HOME/.opencodereview/sessions/Users-acoliver-projects-llxprt-branch-8-llxprt-code/60282c81-6227-4090-bbf8-0aae5cfe4e8f.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R035,2026-07-11T10:29:55-0300,vybestack/llxprt-code,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,17,16,0,no/unknown,$TMPDIR/ocr_1604c.log,6b717177b55bea7b1bae944853eabe59375a7a8a221a1656bb2dc52b1afbb470,$HOME/.opencodereview/sessions/Users-acoliver-projects-llxprt-branch-8-llxprt-code/9c21a1de-e55d-482d-b163-5e4b1012f757.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R036,2026-07-11T12:08:19-0300,vybestack/llxprt-jefe,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,0,0,0,no/unknown,$TMPDIR/ocr_review_pr132_ux.log,62f8f6d58bafea67d1941548a0875553a0d65da6d2b248db39da3f80d23644a8,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-jefe-branch-4/b80b3673-791c-4d6d-99b7-3ae9fd8c69c5.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R037,2026-07-11T12:21:03-0300,vybestack/llxprt-jefe,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,70,27,0,no/unknown,$TMPDIR/ocr_review_pr132_ux2.log,a7fdce70c80097d90a2148aef77009029c6b82942a05d2fe347a2c816ce7f977,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-jefe-branch-4/1bad5a7d-e9a4-497b-a20c-74986e28d26c.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R038,2026-07-11T13:24:18-0300,vybestack/llxprt-code,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,20,23,0,no/unknown,$TMPDIR/ocr_1604d.log,c93fa2b9270fff78ea1bd651a20e3f869948625e62062486bff3b66409e9a33c,$HOME/.opencodereview/sessions/Users-acoliver-projects-llxprt-branch-8-llxprt-code/71feb1bc-b760-4d81-a7b4-a94ce3d35f28.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R039,2026-07-11T14:15:42-0300,vybestack/llxprt-jefe,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,27,40,0,no/unknown,$TMPDIR/ocr_review_179b.log,22e6e6910fa837b8bfc4ee66232574abf6f44f2c11517b361493412400d8036f,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-jefe-branch-3/2f5435ce-5b26-449d-a20d-3246b6542cb1.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R040,2026-07-11T14:24:31-0300,vybestack/llxprt-jefe,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,27,35,0,no/unknown,$TMPDIR/ocr_review_179.log,4ff39b077d376e9d618e6fc883b0a4df0d15a5c88bc05f5256dbb72e48da960b,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-jefe-branch-3/d71b5f91-3241-43bd-a464-b31ecc6ad698.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R041,2026-07-11T14:56:59-0300,vybestack/llxprt-jefe,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,5,3,0,no/unknown,$TMPDIR/ocr_review_200.log,f5349d5817097f2ec4b219c9d7957d9896af7d611ff5fc1c7f4afaab45a782bb,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-jefe-branch-1/01b66ddd-8eeb-4761-9bd5-7b96be8b288b.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R042,2026-07-11T15:16:33-0300,vybestack/llxprt-jefe,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,6,3,0,no/unknown,$TMPDIR/ocr_review_197.log,c9fb189dd6457b53b6c0d827b5c8f8359f97e7a3975ae57f6a30eb3635322fba,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-jefe-branch-4/8df6bc16-2a3f-4aab-a4b0-f18e8b0b7d9e.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R043,2026-07-11T15:17:55-0300,vybestack/llxprt-jefe,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,32,27,0,no/unknown,$TMPDIR/ocr_review_dim.log,6c810f57485ef667f929d7b65c9494aafdd421730c8ff7959d2b017a370ba8e0,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-jefe-branch-3/75929107-c10a-40fb-964e-4e9563857bcd.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R044,2026-07-11T16:02:06-0300,vybestack/llxprt-jefe,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,0,0,0,no/unknown,$TMPDIR/ocr_review_200c.log,62f8f6d58bafea67d1941548a0875553a0d65da6d2b248db39da3f80d23644a8,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-jefe-branch-1/f157d9bb-ffdf-44c1-8c7c-1dc7072c97e4.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R045,2026-07-11T16:07:15-0300,vybestack/llxprt-code,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,16,9,0,no/unknown,$TMPDIR/ocr_review_2446.log,66f755297ffc0459f369a1185c96fbce0ec07b018da992f068c70ee925a643b1,$HOME/.opencodereview/sessions/Users-acoliver-projects-llxprt-branch-1-llxprt-code/3f22f0fb-3854-4584-b965-fc1a777a8e12.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R046,2026-07-11T16:09:51-0300,vybestack/llxprt-jefe,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,17,14,0,no/unknown,$TMPDIR/ocr_review_197_v2.log,92c772c76536b1522ddfb13756cab9e67b8f35256656c2c723e4678a9efa100a,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-jefe-branch-4/17410a92-e0f6-4951-8ef5-5de54c9a0da0.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R047,2026-07-11T16:40:57-0300,vybestack/llxprt-jefe,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,16,14,0,no/unknown,$TMPDIR/ocr_review_197_v3.log,401c2060798a9adeb8e835d43c2a345785d61823c0afdc497a1e490dda6169f9,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-jefe-branch-4/a5af8803-bff1-4d39-8d12-a3a2af73fa5a.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R048,2026-07-11T17:02:10-0300,vybestack/llxprt-code,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,16,5,0,yes,$TMPDIR/ocr_review_2446_rerun.log,4a189325259d939b730fd808a030eefd4e146c2c451e2fcb8c92367a6f9fced1,$HOME/.opencodereview/sessions/Users-acoliver-projects-llxprt-branch-1-llxprt-code/e0d2229a-2fdb-458c-91e9-e4c5dcab7be6.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R049,2026-07-11T17:17:39-0300,vybestack/llxprt-jefe,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,32,18,0,no/unknown,$TMPDIR/ocr_review_197_v5.log,1686996ffc65a7d26733b13726fec53cfa8097daaa35c261ac93d0d814649e4e,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-jefe-branch-4/ceb98cfe-a1c5-41cf-8a09-4eaacc12a0e5.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R050,2026-07-11T17:57:25-0300,vybestack/llxprt-jefe,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,5,0,0,no/unknown,$TMPDIR/ocr_review_210b.log,bbf1bcc17d2d96327ae7876f95e4a9b0c892226343acee6e7c429f9537f03950,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-jefe-branch-3/3dd2c989-531c-4052-8d8d-98e697f5ca0b.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R051,2026-07-11T18:59:59-0300,vybestack/llxprt-code,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,explicit log/path marker,success,none,3,1,0,no/unknown,$TMPDIR/ocr_review_2453.log,82f0dc0fd8ad8cc0e62386360bca26a39b8073cd130eb31650d6f3ac2c92d26d,$HOME/.opencodereview/sessions/Users-acoliver-projects-llxprt-branch-1-llxprt-code/2a2e56c3-c075-41c7-9e3d-b490c6f292ea.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R052,2026-07-11T19:06:20-0300,vybestack/llxprt-code,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,10,3,0,no/unknown,$TMPDIR/ocr_review_2453_range.log,28325f89ec3b4704516f7edbba27779eb03a8cf10ae268b3bdfb2fad2d493bb8,$HOME/.opencodereview/sessions/Users-acoliver-projects-llxprt-branch-1-llxprt-code/793deac5-ae5a-4005-a3ae-d20d89be6372.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R053,2026-07-11T19:15:31-0300,vybestack/llxprt-code,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,10,3,0,yes,$TMPDIR/ocr_review_2453_final.log,083b32219e5111b8fc05d52642aad88f93db74b79c46a524b9a1af3020030b5b,$HOME/.opencodereview/sessions/Users-acoliver-projects-llxprt-branch-1-llxprt-code/c86fac81-6b62-4f58-b203-ae71122abeb7.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R054,2026-07-11T20:17:50-0300,vybestack/llxprt-code,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,explicit log/path marker,success,none,,,0,no/unknown,$TMPDIR/ocr_issue2349_review.json,979f8ddbecf2383b888517877a5a7d0ad4d341c8fdffec4150f8de6939502fe0,$HOME/.opencodereview/sessions/Users-acoliver-projects-llxprt-branch-2-llxprt-code/3d6d4137-c55b-4bbf-8f9f-471202bc1989.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R055,2026-07-11T20:27:10-0300,vybestack/llxprt-code,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,5,0,0,no/unknown,$TMPDIR/ocr_review_2500.log,8a0e94c79526721ba4289d1bff7e3f6878cf7d87c288fa5c41958f452bb987bd,$HOME/.opencodereview/sessions/Users-acoliver-projects-llxprt-branch-4-llxprt-code/bd61aab0-43ff-4a26-a556-cb9fd1ca38d2.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R056,2026-07-11T20:28:54-0300,vybestack/llxprt-code,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,0,0,0,no/unknown,$TMPDIR/ocr_review_2501.log,62f8f6d58bafea67d1941548a0875553a0d65da6d2b248db39da3f80d23644a8,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-9-llxprt-code/14cc912c-a4f9-413a-a766-aeacf0cfcfbd.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R057,2026-07-11T20:30:39-0300,vybestack/llxprt-code,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,config-snapshot interval inference,success,none,0,0,0,no/unknown,$TMPDIR/ocr_review_2501b.log,62f8f6d58bafea67d1941548a0875553a0d65da6d2b248db39da3f80d23644a8,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-9-llxprt-code/c1bceffe-3c07-4b9a-803b-f7403f75979f.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
