repository,pr_number,classification,evidence_type,event_at,commit_sha,finding_url,evidence_url,basis
llxprt-code,1953,medium_confidence,commit_after_finding_within_24h,2026-06-06T08:10:06Z,28c501be608ea95172ce4f9c0784ce56c7d6a635,https://github.com/vybestack/llxprt-code/pull/1953#discussion_r3366897024,https://github.com/vybestack/llxprt-code/commit/28c501be608ea95172ce4f9c0784ce56c7d6a635,0.8 hours after latest retained CodeRabbit finding
llxprt-code,1953,medium_confidence,commit_after_finding_within_24h,2026-06-06T08:20:30Z,5e99ffb9b627d62f05b7e2fd24638eaf34a004a9,https://github.com/vybestack/llxprt-code/pull/1953#discussion_r3366897024,https://github.com/vybestack/llxprt-code/commit/5e99ffb9b627d62f05b7e2fd24638eaf34a004a9,1.0 hours after latest retained CodeRabbit finding
llxprt-code,1953,medium_confidence,commit_after_finding_within_24h,2026-06-06T08:46:53Z,df20d22659cfd6ada1754fcfd170b1c67b396a94,https://github.com/vybestack/llxprt-code/pull/1953#discussion_r3366897024,https://github.com/vybestack/llxprt-code/commit/df20d22659cfd6ada1754fcfd170b1c67b396a94,1.4 hours after latest retained CodeRabbit finding
llxprt-code,1953,medium_confidence,commit_after_finding_within_24h,2026-06-06T09:19:56Z,71cc954757760e68a8b3ffb551b02fe58fa3b316,https://github.com/vybestack/llxprt-code/pull/1953#discussion_r3366897024,https://github.com/vybestack/llxprt-code/commit/71cc954757760e68a8b3ffb551b02fe58fa3b316,2.0 hours after latest retained CodeRabbit finding
llxprt-code,1953,medium_confidence,commit_after_finding_within_24h,2026-06-06T09:54:28Z,f01bd5623a05bad503a9ca9223ab547f8ebdbc75,https://github.com/vybestack/llxprt-code/pull/1953#discussion_r3366897024,https://github.com/vybestack/llxprt-code/commit/f01bd5623a05bad503a9ca9223ab547f8ebdbc75,2.5 hours after latest retained CodeRabbit finding
llxprt-code,1957,medium_confidence,commit_after_finding_within_24h,2026-06-06T20:58:45Z,6b5dee4e319006270def4da0cb80ce2e8f0ffe44,https://github.com/vybestack/llxprt-code/pull/1957#discussion_r3368223124,https://github.com/vybestack/llxprt-code/commit/6b5dee4e319006270def4da0cb80ce2e8f0ffe44,0.0 hours after latest retained CodeRabbit finding
llxprt-code,1957,high_confidence,explicit_fixed_reply_with_commit,2026-06-06T20:59:08Z,6b5dee4e3,https://github.com/vybestack/llxprt-code/pull/1957#discussion_r3368223124,https://github.com/vybestack/llxprt-code/pull/1957#discussion_r3368225683,LLM-authored reply uses fix/address language and cites a commit
llxprt-code,1957,medium_confidence,commit_after_finding_within_24h,2026-06-06T21:24:18Z,1e09b867f1204684f98ef179f24b1458ed00bdab,https://github.com/vybestack/llxprt-code/pull/1957#discussion_r3368223124,https://github.com/vybestack/llxprt-code/commit/1e09b867f1204684f98ef179f24b1458ed00bdab,0.5 hours after latest retained CodeRabbit finding
llxprt-code,1957,medium_confidence,commit_after_finding_within_24h,2026-06-07T03:28:37Z,a5fcefca7e466c05ec876c54c10203a06b0638fc,https://github.com/vybestack/llxprt-code/pull/1957#discussion_r3368264362,https://github.com/vybestack/llxprt-code/commit/a5fcefca7e466c05ec876c54c10203a06b0638fc,6.0 hours after latest retained CodeRabbit finding
llxprt-code,1957,medium_confidence,commit_after_finding_within_24h,2026-06-07T03:43:55Z,bea8e06cff05a251562282935988de545b48a67b,https://github.com/vybestack/llxprt-code/pull/1957#discussion_r3368264362,https://github.com/vybestack/llxprt-code/commit/bea8e06cff05a251562282935988de545b48a67b,6.2 hours after latest retained CodeRabbit finding
llxprt-code,1957,medium_confidence,commit_after_finding_within_24h,2026-06-07T04:13:37Z,fa3cfc086d6b7eb22060f43764c135bc51bffe4a,https://github.com/vybestack/llxprt-code/pull/1957#discussion_r3368264362,https://github.com/vybestack/llxprt-code/commit/fa3cfc086d6b7eb22060f43764c135bc51bffe4a,6.7 hours after latest retained CodeRabbit finding
llxprt-code,1959,high_confidence,commit_message_review_reference,2026-06-07T22:04:15Z,9b82bac1e8095a708584cd422a04419c7ecb808a,https://github.com/vybestack/llxprt-code/pull/1959#discussion_r3370149014,https://github.com/vybestack/llxprt-code/commit/9b82bac1e8095a708584cd422a04419c7ecb808a,0.2 hours after latest retained CodeRabbit finding
llxprt-code,1959,medium_confidence,commit_after_finding_within_24h,2026-06-08T16:10:33Z,fc1f3ebcfa9fa4004d13f4d9663f123afce1318e,https://github.com/vybestack/llxprt-code/pull/1959#discussion_r3370149014,https://github.com/vybestack/llxprt-code/commit/fc1f3ebcfa9fa4004d13f4d9663f123afce1318e,18.3 hours after latest retained CodeRabbit finding
llxprt-code,1961,medium_confidence,commit_after_finding_within_24h,2026-06-07T01:04:35Z,94ef48033a8d85ea19d4203240d1b66b67cdc6d9,https://github.com/vybestack/llxprt-code/pull/1961#discussion_r3368506039,https://github.com/vybestack/llxprt-code/commit/94ef48033a8d85ea19d4203240d1b66b67cdc6d9,0.5 hours after latest retained CodeRabbit finding
llxprt-code,1961,high_confidence,explicit_fixed_reply_with_commit,2026-06-07T01:05:37Z,94ef48033,https://github.com/vybestack/llxprt-code/pull/1961#discussion_r3368506036,https://github.com/vybestack/llxprt-code/pull/1961#discussion_r3368540538,LLM-authored reply uses fix/address language and cites a commit
llxprt-code,1969,medium_confidence,commit_after_finding_within_24h,2026-06-08T19:19:21Z,a21ae516c09a73460de43ce030267b32177bf89a,https://github.com/vybestack/llxprt-code/pull/1969#discussion_r3375643021,https://github.com/vybestack/llxprt-code/commit/a21ae516c09a73460de43ce030267b32177bf89a,0.4 hours after latest retained CodeRabbit finding
llxprt-code,1969,high_confidence,explicit_fixed_reply_with_commit,2026-06-08T19:19:48Z,a21ae516c,https://github.com/vybestack/llxprt-code/pull/1969#discussion_r3375643021,https://github.com/vybestack/llxprt-code/pull/1969#discussion_r3375771445,LLM-authored reply uses fix/address language and cites a commit
llxprt-code,1971,high_confidence,commit_message_review_reference,2026-06-08T22:07:27Z,a795389da775e24df2e615c740da590b755bb727,https://github.com/vybestack/llxprt-code/pull/1971#discussion_r3376621874,https://github.com/vybestack/llxprt-code/commit/a795389da775e24df2e615c740da590b755bb727,0.1 hours after latest retained CodeRabbit finding
llxprt-code,1971,high_confidence,explicit_fixed_reply_with_commit,2026-06-08T22:08:04Z,a795389da,https://github.com/vybestack/llxprt-code/pull/1971#discussion_r3376621874,https://github.com/vybestack/llxprt-code/pull/1971#discussion_r3376638341,LLM-authored reply uses fix/address language and cites a commit
llxprt-code,1971,medium_confidence,commit_after_finding_within_24h,2026-06-08T22:39:51Z,1dc35c57fda6811bb7940985e89a0a5755d53b7b,https://github.com/vybestack/llxprt-code/pull/1971#discussion_r3376621874,https://github.com/vybestack/llxprt-code/commit/1dc35c57fda6811bb7940985e89a0a5755d53b7b,0.6 hours after latest retained CodeRabbit finding
llxprt-code,1973,medium_confidence,commit_after_finding_within_24h,2026-06-09T04:36:10Z,9d33b7c03bb43ec3a0e2c73d054b0dcb5048fe6c,https://github.com/vybestack/llxprt-code/pull/1973#discussion_r3377873681,https://github.com/vybestack/llxprt-code/commit/9d33b7c03bb43ec3a0e2c73d054b0dcb5048fe6c,0.4 hours after latest retained CodeRabbit finding
llxprt-code,1973,medium_confidence,commit_after_finding_within_24h,2026-06-09T04:52:09Z,6c2ce78c0299f7f2fb4bd45a503cd54d8897d833,https://github.com/vybestack/llxprt-code/pull/1973#discussion_r3377873681,https://github.com/vybestack/llxprt-code/commit/6c2ce78c0299f7f2fb4bd45a503cd54d8897d833,0.6 hours after latest retained CodeRabbit finding
llxprt-code,1973,medium_confidence,commit_after_finding_within_24h,2026-06-09T05:17:40Z,fcd02823ed15b2464b4e8e2f1a3f35b4ade4ae8e,https://github.com/vybestack/llxprt-code/pull/1973#discussion_r3377873681,https://github.com/vybestack/llxprt-code/commit/fcd02823ed15b2464b4e8e2f1a3f35b4ade4ae8e,1.0 hours after latest retained CodeRabbit finding
llxprt-code,1973,medium_confidence,commit_after_finding_within_24h,2026-06-09T05:55:36Z,b6efcdaef56a5df40560c7915284a0ed5decda3c,https://github.com/vybestack/llxprt-code/pull/1973#discussion_r3377873681,https://github.com/vybestack/llxprt-code/commit/b6efcdaef56a5df40560c7915284a0ed5decda3c,1.7 hours after latest retained CodeRabbit finding
llxprt-code,1974,medium_confidence,commit_after_finding_within_24h,2026-06-09T04:15:48Z,ba982e03cc79378180239333011ec5e4cd92f7e0,https://github.com/vybestack/llxprt-code/pull/1974#discussion_r3377868299,https://github.com/vybestack/llxprt-code/commit/ba982e03cc79378180239333011ec5e4cd92f7e0,0.0 hours after latest retained CodeRabbit finding
llxprt-code,1974,medium_confidence,commit_after_finding_within_24h,2026-06-09T12:32:47Z,1c4e74e6305d238a0355b2bbb20963ac5e174137,https://github.com/vybestack/llxprt-code/pull/1974#discussion_r3377868299,https://github.com/vybestack/llxprt-code/commit/1c4e74e6305d238a0355b2bbb20963ac5e174137,8.3 hours after latest retained CodeRabbit finding
llxprt-code,1974,medium_confidence,commit_after_finding_within_24h,2026-06-09T13:21:08Z,3ec30e91ecbd90d8f0e9f3349dfb20593154125f,https://github.com/vybestack/llxprt-code/pull/1974#discussion_r3380618458,https://github.com/vybestack/llxprt-code/commit/3ec30e91ecbd90d8f0e9f3349dfb20593154125f,0.7 hours after latest retained CodeRabbit finding
llxprt-code,1974,high_confidence,explicit_fixed_reply_with_commit,2026-06-09T13:21:26Z,3ec30e91e,https://github.com/vybestack/llxprt-code/pull/1974#discussion_r3380618458,https://github.com/vybestack/llxprt-code/pull/1974#discussion_r3380924353,LLM-authored reply uses fix/address language and cites a commit
llxprt-code,1974,medium_confidence,commit_after_finding_within_24h,2026-06-09T16:29:03Z,1212efece08e5640ff12e01de3f5846d9596a01c,https://github.com/vybestack/llxprt-code/pull/1974#discussion_r3380618458,https://github.com/vybestack/llxprt-code/commit/1212efece08e5640ff12e01de3f5846d9596a01c,3.9 hours after latest retained CodeRabbit finding
llxprt-code,1975,medium_confidence,commit_after_finding_within_24h,2026-06-09T13:15:06Z,7c3d5a469d9dc96bad4c688a66456dbe04f889b7,https://github.com/vybestack/llxprt-code/pull/1975#discussion_r3380767475,https://github.com/vybestack/llxprt-code/commit/7c3d5a469d9dc96bad4c688a66456dbe04f889b7,0.3 hours after latest retained CodeRabbit finding
llxprt-code,1975,high_confidence,commit_message_review_reference,2026-06-09T14:05:10Z,e98d91b6cbda97e3256cfa491b57e3ed54a3aad5,https://github.com/vybestack/llxprt-code/pull/1975#discussion_r3380767475,https://github.com/vybestack/llxprt-code/commit/e98d91b6cbda97e3256cfa491b57e3ed54a3aad5,1.1 hours after latest retained CodeRabbit finding
llxprt-code,1975,high_confidence,explicit_fixed_reply_with_commit,2026-06-09T14:05:55Z,e98d91b6c,https://github.com/vybestack/llxprt-code/pull/1975#discussion_r3380767400,https://github.com/vybestack/llxprt-code/pull/1975#discussion_r3381263852,LLM-authored reply uses fix/address language and cites a commit
llxprt-code,1975,medium_confidence,commit_after_finding_within_24h,2026-06-09T14:28:00Z,cccef40df4a0cd3ae728c003e4a0e2e44f01a413,https://github.com/vybestack/llxprt-code/pull/1975#discussion_r3380767475,https://github.com/vybestack/llxprt-code/commit/cccef40df4a0cd3ae728c003e4a0e2e44f01a413,1.5 hours after latest retained CodeRabbit finding
llxprt-code,1976,medium_confidence,commit_after_finding_within_24h,2026-06-09T17:56:05Z,45eb36d9960bf844a8d5173e5ad788cd6c6887e2,https://github.com/vybestack/llxprt-code/pull/1976#discussion_r3382764679,https://github.com/vybestack/llxprt-code/commit/45eb36d9960bf844a8d5173e5ad788cd6c6887e2,0.0 hours after latest retained CodeRabbit finding
llxprt-code,1976,medium_confidence,commit_after_finding_within_24h,2026-06-09T18:15:18Z,8342296e970db38f8d705d9773d59bb76f863cc9,https://github.com/vybestack/llxprt-code/pull/1976#discussion_r3382764679,https://github.com/vybestack/llxprt-code/commit/8342296e970db38f8d705d9773d59bb76f863cc9,0.4 hours after latest retained CodeRabbit finding
llxprt-code,1976,medium_confidence,commit_after_finding_within_24h,2026-06-09T18:51:30Z,28f3c1048d3df671777d5b28bb53233f065c29d5,https://github.com/vybestack/llxprt-code/pull/1976#discussion_r3382764679,https://github.com/vybestack/llxprt-code/commit/28f3c1048d3df671777d5b28bb53233f065c29d5,1.0 hours after latest retained CodeRabbit finding
llxprt-code,1976,medium_confidence,commit_after_finding_within_24h,2026-06-09T20:25:11Z,fef9b306e03de5fc5c725ef9312582f0cba3e315,https://github.com/vybestack/llxprt-code/pull/1976#discussion_r3382764679,https://github.com/vybestack/llxprt-code/commit/fef9b306e03de5fc5c725ef9312582f0cba3e315,2.5 hours after latest retained CodeRabbit finding
llxprt-code,1979,medium_confidence,commit_after_finding_within_24h,2026-06-09T21:31:14Z,690d18f6290e8271861b10f23be1079ac6b12c34,https://github.com/vybestack/llxprt-code/pull/1979#discussion_r3383821083,https://github.com/vybestack/llxprt-code/commit/690d18f6290e8271861b10f23be1079ac6b12c34,0.5 hours after latest retained CodeRabbit finding
llxprt-code,1979,medium_confidence,commit_after_finding_within_24h,2026-06-09T21:37:28Z,4317adc4858ac9d8f5f8808ee420a72ec9f66aa3,https://github.com/vybestack/llxprt-code/pull/1979#discussion_r3383821083,https://github.com/vybestack/llxprt-code/commit/4317adc4858ac9d8f5f8808ee420a72ec9f66aa3,0.6 hours after latest retained CodeRabbit finding
llxprt-code,1979,medium_confidence,commit_after_finding_within_24h,2026-06-09T21:54:29Z,1c2a645a7442608aa92592790060483c8c1aa128,https://github.com/vybestack/llxprt-code/pull/1979#discussion_r3383821083,https://github.com/vybestack/llxprt-code/commit/1c2a645a7442608aa92592790060483c8c1aa128,0.9 hours after latest retained CodeRabbit finding
llxprt-code,1979,high_confidence,commit_message_review_reference,2026-06-09T22:17:15Z,15476e875485b21fe3ca0b2e96432e7eba73943f,https://github.com/vybestack/llxprt-code/pull/1979#discussion_r3383821083,https://github.com/vybestack/llxprt-code/commit/15476e875485b21fe3ca0b2e96432e7eba73943f,1.3 hours after latest retained CodeRabbit finding
llxprt-code,1979,high_confidence,explicit_fixed_reply_with_commit,2026-06-09T22:17:54Z,15476e875,https://github.com/vybestack/llxprt-code/pull/1979#discussion_r3383820988,https://github.com/vybestack/llxprt-code/pull/1979#discussion_r3384189325,LLM-authored reply uses fix/address language and cites a commit
llxprt-code,1979,medium_confidence,commit_after_finding_within_24h,2026-06-09T22:27:57Z,b2d80d6a13cf2a910105b0b9a2d2729d43d6089e,https://github.com/vybestack/llxprt-code/pull/1979#discussion_r3384227004,https://github.com/vybestack/llxprt-code/commit/b2d80d6a13cf2a910105b0b9a2d2729d43d6089e,0.0 hours after latest retained CodeRabbit finding
llxprt-code,1979,medium_confidence,commit_after_finding_within_24h,2026-06-09T22:33:08Z,174d78a793d3872070cf84b0ed2e6cc7047cb3a1,https://github.com/vybestack/llxprt-code/pull/1979#discussion_r3384227004,https://github.com/vybestack/llxprt-code/commit/174d78a793d3872070cf84b0ed2e6cc7047cb3a1,0.1 hours after latest retained CodeRabbit finding
llxprt-code,1979,high_confidence,explicit_fixed_reply_with_commit,2026-06-09T22:33:19Z,174d78a79,https://github.com/vybestack/llxprt-code/pull/1979#discussion_r3384227004,https://github.com/vybestack/llxprt-code/pull/1979#discussion_r3384257177,LLM-authored reply uses fix/address language and cites a commit
llxprt-code,1979,medium_confidence,commit_after_finding_within_24h,2026-06-09T22:45:09Z,e87f71f85c43916ca65b4121f47b54ac32bee127,https://github.com/vybestack/llxprt-code/pull/1979#discussion_r3384227004,https://github.com/vybestack/llxprt-code/commit/e87f71f85c43916ca65b4121f47b54ac32bee127,0.3 hours after latest retained CodeRabbit finding
llxprt-code,1979,medium_confidence,commit_after_finding_within_24h,2026-06-09T23:19:49Z,f7c3aa21961cdcd8c75fcef1e04d756a372c322b,https://github.com/vybestack/llxprt-code/pull/1979#discussion_r3384227004,https://github.com/vybestack/llxprt-code/commit/f7c3aa21961cdcd8c75fcef1e04d756a372c322b,0.9 hours after latest retained CodeRabbit finding
llxprt-code,1979,medium_confidence,commit_after_finding_within_24h,2026-06-09T23:33:24Z,ccb7cb464fc7a113b6a4db96b95bee81eebfc02e,https://github.com/vybestack/llxprt-code/pull/1979#discussion_r3384227004,https://github.com/vybestack/llxprt-code/commit/ccb7cb464fc7a113b6a4db96b95bee81eebfc02e,1.1 hours after latest retained CodeRabbit finding
llxprt-code,1980,medium_confidence,commit_after_finding_within_24h,2026-06-09T22:23:34Z,e809f26276a73fa35c23d8729e49f882cb1b1991,https://github.com/vybestack/llxprt-code/pull/1980#discussion_r3383949609,https://github.com/vybestack/llxprt-code/commit/e809f26276a73fa35c23d8729e49f882cb1b1991,1.0 hours after latest retained CodeRabbit finding
llxprt-code,1980,high_confidence,commit_message_review_reference,2026-06-09T23:35:26Z,5fa20283a80cbdd5f19cdbce4957d88704a69f91,https://github.com/vybestack/llxprt-code/pull/1980#discussion_r3383949609,https://github.com/vybestack/llxprt-code/commit/5fa20283a80cbdd5f19cdbce4957d88704a69f91,2.2 hours after latest retained CodeRabbit finding
llxprt-code,1980,high_confidence,explicit_fixed_reply_with_commit,2026-06-09T23:38:37Z,5fa2028,https://github.com/vybestack/llxprt-code/pull/1980#discussion_r3383949558,https://github.com/vybestack/llxprt-code/pull/1980#discussion_r3384509940,LLM-authored reply uses fix/address language and cites a commit
llxprt-code,1980,medium_confidence,commit_after_finding_within_24h,2026-06-10T00:34:43Z,4da8b5f2212a749c226457b91e75658e058f2730,https://github.com/vybestack/llxprt-code/pull/1980#discussion_r3383949609,https://github.com/vybestack/llxprt-code/commit/4da8b5f2212a749c226457b91e75658e058f2730,3.1 hours after latest retained CodeRabbit finding
llxprt-code,1980,medium_confidence,commit_after_finding_within_24h,2026-06-10T01:02:18Z,092a3182230df9f2c3baf7d23f0de26fc6e464f4,https://github.com/vybestack/llxprt-code/pull/1980#discussion_r3384738328,https://github.com/vybestack/llxprt-code/commit/092a3182230df9f2c3baf7d23f0de26fc6e464f4,0.3 hours after latest retained CodeRabbit finding
llxprt-code,1980,medium_confidence,commit_after_finding_within_24h,2026-06-10T17:21:17Z,863709e14714f7cf61be923004176a3d5754aebc,https://github.com/vybestack/llxprt-code/pull/1980#discussion_r3384738328,https://github.com/vybestack/llxprt-code/commit/863709e14714f7cf61be923004176a3d5754aebc,16.6 hours after latest retained CodeRabbit finding
llxprt-code,1980,medium_confidence,commit_after_finding_within_24h,2026-06-10T17:39:51Z,280d361e69730f042f98cff6bf72a26aa9d1759f,https://github.com/vybestack/llxprt-code/pull/1980#discussion_r3384738328,https://github.com/vybestack/llxprt-code/commit/280d361e69730f042f98cff6bf72a26aa9d1759f,16.9 hours after latest retained CodeRabbit finding
llxprt-code,1980,medium_confidence,commit_after_finding_within_24h,2026-06-10T17:51:33Z,30d3a22fd66cd9918e2c0a12d4d202ea20545e34,https://github.com/vybestack/llxprt-code/pull/1980#discussion_r3384738328,https://github.com/vybestack/llxprt-code/commit/30d3a22fd66cd9918e2c0a12d4d202ea20545e34,17.1 hours after latest retained CodeRabbit finding
llxprt-code,1982,high_confidence,commit_message_review_reference,2026-06-10T17:55:42Z,6ef7af3dac235031d9b6d0cb3d0bd28241ad32c2,https://github.com/vybestack/llxprt-code/pull/1982#discussion_r3390314881,https://github.com/vybestack/llxprt-code/commit/6ef7af3dac235031d9b6d0cb3d0bd28241ad32c2,0.3 hours after latest retained CodeRabbit finding
llxprt-code,1982,high_confidence,explicit_fixed_reply_with_commit,2026-06-10T17:55:58Z,6ef7af3da,https://github.com/vybestack/llxprt-code/pull/1982#discussion_r3390314809,https://github.com/vybestack/llxprt-code/pull/1982#discussion_r3390411168,LLM-authored reply uses fix/address language and cites a commit
llxprt-code,1982,medium_confidence,commit_after_finding_within_24h,2026-06-10T18:01:21Z,8fb5f5a79ddb29930c33007c17f46ee7460c6450,https://github.com/vybestack/llxprt-code/pull/1982#discussion_r3390314881,https://github.com/vybestack/llxprt-code/commit/8fb5f5a79ddb29930c33007c17f46ee7460c6450,0.3 hours after latest retained CodeRabbit finding
llxprt-code,1982,medium_confidence,commit_after_finding_within_24h,2026-06-10T19:20:16Z,cfee23df6e7f9661ecb4a8fd326103766ecc60c8,https://github.com/vybestack/llxprt-code/pull/1982#discussion_r3390314881,https://github.com/vybestack/llxprt-code/commit/cfee23df6e7f9661ecb4a8fd326103766ecc60c8,1.7 hours after latest retained CodeRabbit finding
llxprt-code,1982,medium_confidence,commit_after_finding_within_24h,2026-06-10T19:28:30Z,5c08230e9934ce8cc2596d9a1e18fd173b92fc2f,https://github.com/vybestack/llxprt-code/pull/1982#discussion_r3390314881,https://github.com/vybestack/llxprt-code/commit/5c08230e9934ce8cc2596d9a1e18fd173b92fc2f,1.8 hours after latest retained CodeRabbit finding
llxprt-code,1982,medium_confidence,commit_after_finding_within_24h,2026-06-10T19:34:51Z,ad4c48dad2629d199b1f0ac3c54166d897a4f347,https://github.com/vybestack/llxprt-code/pull/1982#discussion_r3390997937,https://github.com/vybestack/llxprt-code/commit/ad4c48dad2629d199b1f0ac3c54166d897a4f347,0.0 hours after latest retained CodeRabbit finding
llxprt-code,1982,medium_confidence,commit_after_finding_within_24h,2026-06-10T19:48:24Z,0ed413b005b46eb52ffd04a408a05db76e52e3a4,https://github.com/vybestack/llxprt-code/pull/1982#discussion_r3390997937,https://github.com/vybestack/llxprt-code/commit/0ed413b005b46eb52ffd04a408a05db76e52e3a4,0.3 hours after latest retained CodeRabbit finding
llxprt-code,1982,medium_confidence,commit_after_finding_within_24h,2026-06-10T19:53:06Z,33bf147bd6b0472c6f96cb0034fd3855fa8ba9e1,https://github.com/vybestack/llxprt-code/pull/1982#discussion_r3390997937,https://github.com/vybestack/llxprt-code/commit/33bf147bd6b0472c6f96cb0034fd3855fa8ba9e1,0.3 hours after latest retained CodeRabbit finding
llxprt-code,1982,medium_confidence,commit_after_finding_within_24h,2026-06-10T20:00:13Z,058a0070d78e6ec4bc09e27095ed0b779be0c97b,https://github.com/vybestack/llxprt-code/pull/1982#discussion_r3390997937,https://github.com/vybestack/llxprt-code/commit/058a0070d78e6ec4bc09e27095ed0b779be0c97b,0.4 hours after latest retained CodeRabbit finding
llxprt-code,1982,medium_confidence,commit_after_finding_within_24h,2026-06-10T20:16:07Z,ef681f9bf9f89d5176634437622948d24a64bb72,https://github.com/vybestack/llxprt-code/pull/1982#discussion_r3390997937,https://github.com/vybestack/llxprt-code/commit/ef681f9bf9f89d5176634437622948d24a64bb72,0.7 hours after latest retained CodeRabbit finding
llxprt-code,1982,medium_confidence,commit_after_finding_within_24h,2026-06-10T20:53:25Z,04c107e2c6e5a7296cc0148c54b210257c89e91a,https://github.com/vybestack/llxprt-code/pull/1982#discussion_r3390997937,https://github.com/vybestack/llxprt-code/commit/04c107e2c6e5a7296cc0148c54b210257c89e91a,1.3 hours after latest retained CodeRabbit finding
llxprt-code,1982,high_confidence,explicit_fixed_reply_with_commit,2026-06-10T20:53:40Z,04c107e2c,https://github.com/vybestack/llxprt-code/pull/1982#discussion_r3390997937,https://github.com/vybestack/llxprt-code/pull/1982#discussion_r3391443291,LLM-authored reply uses fix/address language and cites a commit
